Date	Time	ElapsedMicrosecs	WeightFromScale [g]
2023-08-01	14:12:09	18405730	120.3790
2023-08-01	14:12:09	18410362	120.3790
2023-08-01	14:12:09	18415233	120.3790
2023-08-01	14:12:09	18420727	120.3790
2023-08-01	14:12:09	18425572	120.3790
2023-08-01	14:12:09	18434981	120.3790
2023-08-01	14:12:09	18449473	120.3790
2023-08-01	14:12:09	18457546	120.3790
2023-08-01	14:12:09	18464838	120.3790
2023-08-01	14:12:09	18471432	120.3790
2023-08-01	14:12:09	18477547	120.3790
2023-08-01	14:12:09	18483412	120.3790
2023-08-01	14:12:09	18489598	120.3790
2023-08-01	14:12:09	18497645	120.3790
2023-08-01	14:12:09	18503833	120.3790
2023-08-01	14:12:09	18509523	120.3790
2023-08-01	14:12:09	18516744	120.3790
2023-08-01	14:12:09	18521120	120.3790
2023-08-01	14:12:09	18524684	120.3790
2023-08-01	14:12:09	18530607	120.3790
2023-08-01	14:12:09	18535874	120.3790
2023-08-01	14:12:09	18542805	120.3790
2023-08-01	14:12:09	18548154	120.3790
2023-08-01	14:12:09	18553881	120.3790
2023-08-01	14:12:09	18558617	120.3790
2023-08-01	14:12:09	18563858	120.3790
2023-08-01	14:12:09	18569128	120.3790
2023-08-01	14:12:09	18574542	120.3790
2023-08-01	14:12:09	18579644	120.3790
2023-08-01	14:12:09	18584858	120.3790
2023-08-01	14:12:09	18592568	120.3790
2023-08-01	14:12:09	18597781	120.3790
2023-08-01	14:12:09	18601720	120.3790
2023-08-01	14:12:09	18614022	120.3790
2023-08-01	14:12:09	18619249	120.3790
2023-08-01	14:12:09	18624023	120.3790
2023-08-01	14:12:09	18630304	120.3790
2023-08-01	14:12:09	18634907	120.3790
2023-08-01	14:12:09	18639063	120.3790
2023-08-01	14:12:09	18644701	120.3790
2023-08-01	14:12:09	18653449	120.3790
2023-08-01	14:12:09	18659528	120.3790
2023-08-01	14:12:09	18663920	120.3790
2023-08-01	14:12:09	18668747	120.3790
2023-08-01	14:12:09	18673154	120.3790
2023-08-01	14:12:09	18677693	120.3790
2023-08-01	14:12:09	18681941	120.3790
2023-08-01	14:12:09	18687122	120.3790
2023-08-01	14:12:09	18704996	120.3790
2023-08-01	14:12:09	18717389	120.3790
2023-08-01	14:12:09	18725699	120.3790
2023-08-01	14:12:09	18729987	120.3790
2023-08-01	14:12:09	18735022	120.3790
2023-08-01	14:12:09	18749390	120.3790
2023-08-01	14:12:09	18754469	120.3790
2023-08-01	14:12:09	18764014	120.3790
2023-08-01	14:12:09	18773489	120.3790
2023-08-01	14:12:09	18780722	120.3790
2023-08-01	14:12:09	18786718	120.3790
2023-08-01	14:12:09	18794994	120.3790
2023-08-01	14:12:09	18812393	120.3790
2023-08-01	14:12:09	18819334	120.3790
2023-08-01	14:12:09	18823772	120.3790
2023-08-01	14:12:09	18828490	120.3790
2023-08-01	14:12:09	18832605	120.3790
2023-08-01	14:12:09	18838098	120.3790
2023-08-01	14:12:09	18847501	120.3790
2023-08-01	14:12:09	18852187	120.3790
2023-08-01	14:12:09	18857615	120.3790
2023-08-01	14:12:09	18862444	120.3790
2023-08-01	14:12:09	18869350	120.3790
2023-08-01	14:12:09	18875405	120.3790
2023-08-01	14:12:09	18881657	120.3790
2023-08-01	14:12:09	18890098	120.3790
2023-08-01	14:12:09	18896009	120.3790
2023-08-01	14:12:09	18900335	120.3790
2023-08-01	14:12:09	18905405	120.3790
2023-08-01	14:12:09	18916001	120.3790
2023-08-01	14:12:09	18925088	120.3790
2023-08-01	14:12:09	18932011	120.3790
2023-08-01	14:12:09	18937591	120.3790
2023-08-01	14:12:09	18941881	120.3790
2023-08-01	14:12:09	18946306	120.3790
2023-08-01	14:12:09	18952217	120.3790
2023-08-01	14:12:09	18956221	120.3790
2023-08-01	14:12:09	18961300	120.3790
2023-08-01	14:12:09	18965072	120.3790
2023-08-01	14:12:09	18969163	120.3790
2023-08-01	14:12:09	18975399	120.3790
2023-08-01	14:12:09	18981964	120.3790
2023-08-01	14:12:09	18987176	120.3790
2023-08-01	14:12:09	18991691	120.3790
2023-08-01	14:12:09	18996045	120.3790
2023-08-01	14:12:09	18999735	120.3790
2023-08-01	14:12:09	19005642	120.3790
2023-08-01	14:12:09	19009865	120.3790
2023-08-01	14:12:09	19014265	120.3790
2023-08-01	14:12:09	19018479	120.3790
2023-08-01	14:12:09	19023273	120.3790
2023-08-01	14:12:09	19027365	120.3790
2023-08-01	14:12:09	19032557	120.3790
2023-08-01	14:12:09	19036685	120.3790
2023-08-01	14:12:09	19045671	120.3790
2023-08-01	14:12:09	19050314	120.3790
2023-08-01	14:12:09	19054293	120.3790
2023-08-01	14:12:09	19061271	120.3790
2023-08-01	14:12:09	19066005	120.3790
2023-08-01	14:12:09	19071400	120.3790
